TEMPLATE_ID,FILENAME,CLUSTER_INDEX,CONFIDENCE,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT
0,frames/10001.png,0,0.898878276348114,938,0,112,112
1,frames/10001.png,1,1.0,161,442,125,163
2,frames/10001.png,2,0.9109830856323242,636,121,136,161
3,frames/10001.png,3,0.992311418056488,1055,127,105,130
4,frames/10001.png,4,0.8962255716323853,597,0,94,104
5,frames/10003.png,3,0.9775704741477966,1053,134,106,130
6,frames/10003.png,5,0.9070634245872498,911,0,102,118
7,frames/10003.png,1,0.8675941228866577,184,478,125,149
8,frames/10003.png,2,0.9316842555999756,648,123,134,157
9,frames/10003.png,4,0.8993611335754395,603,0,93,118
10,frames/10004.png,2,0.9338308572769165,630,124,129,166
11,frames/10004.png,3,0.9844123125076294,1053,135,106,129
12,frames/10004.png,1,0.8757821917533875,184,476,124,150
13,frames/10004.png,5,0.9291894435882568,911,0,102,118
14,frames/10004.png,4,0.8973487615585327,606,2,92,119
15,frames/10005.png,-1,0.8326292634010315,600,156,98,155
16,frames/10005.png,0,0.9238897562026978,938,0,109,116
17,frames/10005.png,3,0.9732499122619629,1053,135,105,130
18,frames/10005.png,1,0.8970771431922913,182,467,124,157
19,frames/10005.png,4,0.8901241421699524,604,1,93,117
20,frames/10006.png,0,0.9356566071510315,958,0,110,116
21,frames/10006.png,3,0.969321608543396,1052,135,106,129
22,frames/10006.png,2,0.9357461333274841,639,126,137,159
23,frames/10006.png,1,0.9922841191291809,162,439,124,157
24,frames/10006.png,4,0.9089093804359436,602,1,94,115
25,frames/10007.png,-1,0.880841851234436,958,6,111,128
26,frames/10007.png,3,0.9786962866783142,1053,135,106,129
27,frames/10007.png,2,0.9256455898284912,589,114,142,161
28,frames/10007.png,1,0.9881997108459473,164,442,124,155
29,frames/10007.png,-1,0.8453026413917542,601,1,94,109
30,frames/10007.png,-1,0.889009416103363,859,423,104,145
31,frames/10008.png,2,0.9356548190116882,238,66,110,138
32,frames/10010.png,2,0.9604825973510742,227,77,112,136
33,frames/10011.png,2,0.8827530145645142,263,81,110,138
34,frames/10012.png,2,0.9039939045906067,217,113,129,149
